index,Best Performance
0,0.12477710378482175
1,0.1327397424403171
2,0.3670001280853602
3,0.10905312556163596
4,0.12994537787156688
5,0.11429413998936135
6,0.09740498342574393
7,0.14993931806816815
8,0.21850587765466356
9,0.11492027606489992
10,0.17548706859591887
11,0.09578491879468096
12,0.21982185501326673
13,0.1638518597553363
14,0.06937511244106286
15,0.19086062902878959
16,0.1484564542414514
17,0.17920014462148967
18,0.1173964645615411
19,0.14881840196512686
20,0.4308273472085
21,0.23225180581376378
22,0.17433699780687564
23,0.13558110339160737
24,0.1327354288632853
25,0.08840187096068863
26,0.08845359603140336
27,0.1895716882466534
28,0.08809848068862632
29,0.27684812524483826
30,0.07365785242312661
31,0.161349148207153
32,0.09999813754707684
33,0.07543054296005838
34,0.17298094026415053
35,0.09227157011285078
36,0.10395062529203584
37,0.2985209002113023
38,0.12007421804904114
39,0.11992638428802904
40,0.18486840643783936
41,0.11284664667495581
42,0.076973232138789
43,0.1472271088698084
44,0.11057605896204917
45,0.1504541103423075
46,0.25596865592205403
47,0.13333546990960016
48,0.18841891456116724
49,0.1504952714740013
50,0.12542876012083018
51,0.19246947154685468
52,0.20352179457194172
53,0.17365995561924427
54,0.12060258291808212
55,0.1111745065824392
56,0.052455921435284714
57,0.11674134180444969
58,0.26512388559214
59,0.06033037570380928
60,0.13785617417432292
61,0.15326409896410173
62,0.29941932992422254
63,0.10123573447281867
64,0.11896033758138898
65,0.1540146156863623
66,0.13904474946088077
67,0.16162056280842632
68,0.18294597787950342
69,0.24966708542056215
70,0.17662298726436898
71,0.10113841008286925
72,0.10705558189472607
73,0.13250571583918394
74,0.08677659681951438
75,0.217536097597034
76,0.18578494371801385
77,0.11722983383337028
78,0.16421766256724288
79,0.12945616921664724
80,0.08753900457280767
81,0.1097069388410316
82,0.13684286903356044
83,0.1273339129734043
84,0.1241042909994818
85,0.13659614135447806
86,0.11625528880484894
87,0.1155668211836401
88,0.1783064162765237
89,0.14805128963816067
90,0.17287622219454582
91,0.13279432049917708
92,0.10744833768271175
93,0.08876719222242035
94,0.16056777013026313
95,0.5360947607772737
96,0.16387148557837733
97,0.12938655518619419
98,0.11748946785703773
99,0.15221178733668989
100,0.1436432349986257
101,0.09252100105200037
102,0.14905883870317474
103,0.10516180986341114
104,0.19624043403712232
105,0.13266019415808714
106,0.18981160571632588
107,0.14969343259555662
108,0.12911723955551627
